Date,Open,High,Low,Close,Adj Close,Volume
2022-03-15,124.000000,125.940002,123.220001,125.639999,121.145248,4021200
2022-03-16,126.500000,127.279999,124.709999,127.040001,122.495163,4292800
2022-03-17,127.099998,128.289993,126.529999,127.959999,123.382248,3671900
2022-03-18,127.379997,128.929993,126.370003,128.759995,124.153618,7466000
2022-03-21,129.000000,129.740005,127.400002,128.100006,123.517242,3384600
2022-03-22,128.500000,129.300003,127.849998,129.059998,124.442894,2690200
2022-03-23,129.080002,129.320007,128.250000,128.300003,123.710091,2924500
2022-03-24,128.330002,129.369995,127.800003,129.250000,124.626099,2971100
2022-03-25,129.500000,131.399994,129.309998,131.350006,126.650986,3530200
2022-03-28,130.820007,131.500000,129.600006,131.470001,126.766678,2483500
2022-03-29,132.039993,132.839996,130.429993,131.940002,127.219856,5791000
2022-03-30,132.009995,133.080002,131.389999,132.130005,127.403061,2622900
2022-03-31,130.720001,131.880005,130.000000,130.020004,125.368561,4274000
2022-04-01,129.660004,130.270004,128.059998,130.149994,125.493889,4012400
2022-04-04,130.259995,130.449997,128.929993,130.270004,125.609612,2809800
2022-04-05,129.850006,131.229996,128.660004,128.889999,124.278976,3107200
2022-04-06,127.779999,129.509995,127.250000,129.389999,124.761086,3958100
2022-04-07,128.869995,129.250000,126.730003,128.550003,123.951141,3538300
2022-04-08,128.009995,128.779999,127.269997,127.730003,123.160484,3143300
2022-04-11,127.949997,128.179993,126.180000,126.370003,121.849136,3202500
2022-04-12,126.419998,127.339996,125.580002,125.980003,121.473083,2691000
2022-04-13,125.639999,126.669998,124.910004,126.139999,121.627350,3064900
2022-04-14,128.929993,130.580002,126.379997,126.559998,122.032326,6384200
2022-04-18,126.599998,127.389999,125.529999,126.169998,121.656281,4884200
2022-04-19,126.080002,129.399994,126.000000,129.149994,124.529671,7971400
2022-04-20,135.000000,139.559998,133.380005,138.320007,133.371628,17859200
2022-04-21,138.229996,141.880005,137.350006,139.850006,134.846878,9922300
2022-04-22,139.699997,140.440002,137.350006,138.250000,133.304138,6508600
2022-04-25,137.589996,139.649994,135.190002,139.100006,134.123718,5748300
2022-04-26,139.000000,139.869995,136.169998,136.190002,131.317825,4956200
2022-04-27,135.779999,137.119995,134.630005,135.059998,130.228241,4369100
2022-04-28,136.850006,136.990005,134.809998,135.740005,130.883926,4474300
2022-04-29,135.130005,135.550003,132.000000,132.210007,127.480217,5078700
2022-05-02,133.000000,133.770004,130.889999,133.039993,128.280502,4213500
2022-05-03,133.000000,133.600006,131.990005,132.520004,127.779114,3688600
2022-05-04,132.869995,137.869995,132.139999,137.399994,132.484528,5932600
2022-05-05,136.460007,137.259995,134.759995,135.919998,131.057480,5957400
2022-05-06,135.470001,137.990005,135.470001,137.669998,132.744873,7306400
2022-05-09,134.410004,136.350006,133.320007,134.440002,131.202927,7647900
2022-05-10,135.000000,135.410004,128.429993,129.130005,126.020775,8642400
2022-05-11,129.860001,132.960007,129.860001,130.750000,127.601768,5301100
2022-05-12,131.270004,133.619995,130.410004,132.899994,129.699997,5384800
2022-05-13,133.000000,133.800003,131.050003,133.600006,130.383148,4195100
2022-05-16,133.100006,136.509995,132.410004,135.029999,131.778702,4250400
2022-05-17,137.190002,138.369995,135.639999,138.369995,135.038284,4372900
2022-05-18,137.100006,137.619995,132.169998,132.940002,129.739044,6003000
2022-05-19,132.000000,132.320007,128.710007,129.660004,126.538017,5819700
2022-05-20,130.179993,130.369995,125.800003,128.479996,125.386421,6914500
2022-05-23,129.500000,131.949997,129.419998,131.169998,128.011658,3591500
2022-05-24,130.570007,134.369995,130.419998,133.800003,130.578323,4189700
2022-05-25,132.860001,134.820007,132.860001,134.389999,131.154114,3299300
2022-05-26,135.000000,137.550003,134.520004,136.889999,133.593918,3929300
2022-05-27,137.389999,139.740005,137.240005,139.270004,135.916626,4608000
2022-05-31,138.199997,139.830002,136.809998,138.839996,135.496964,7978100
2022-06-01,139.669998,140.470001,138.520004,139.429993,136.072769,3796500
2022-06-02,139.449997,140.289993,136.850006,140.149994,136.775436,3734800
2022-06-03,140.259995,142.580002,139.740005,141.179993,137.780624,4352200
2022-06-06,142.979996,144.729996,142.000000,142.880005,139.439713,4766900
2022-06-07,142.600006,142.979996,140.960007,142.779999,139.342102,2887100
2022-06-08,142.070007,142.800003,140.149994,140.830002,137.439072,3005700
2022-06-09,140.149994,141.039993,137.929993,137.960007,134.638168,3591000
2022-06-10,137.800003,137.800003,135.250000,136.190002,132.910782,4659500
2022-06-13,133.970001,137.570007,133.759995,135.110001,131.856781,6486000
2022-06-14,135.000000,136.949997,134.860001,135.720001,132.452087,4607800
2022-06-15,136.009995,138.449997,135.580002,137.059998,133.759842,4606900
2022-06-16,135.300003,136.240005,134.389999,135.669998,132.403305,5386400
2022-06-17,135.990005,136.979996,132.850006,135.020004,131.768951,12968500
2022-06-21,135.899994,138.500000,135.899994,137.850006,134.530823,4089300
2022-06-22,136.100006,138.179993,136.029999,137.080002,133.779343,3791500
2022-06-23,137.139999,138.619995,136.500000,138.440002,135.106598,4547900
2022-06-24,139.199997,142.369995,139.130005,142.059998,138.639435,11493000
2022-06-27,142.259995,143.830002,141.949997,142.800003,139.361618,3936000
2022-06-28,142.919998,144.160004,141.320007,141.860001,138.444260,4064800
2022-06-29,142.740005,143.520004,139.500000,140.710007,137.321945,4161500
2022-06-30,139.580002,142.460007,139.279999,141.190002,137.790390,4878000
2022-07-01,141.000000,141.669998,139.259995,141.119995,137.722076,4011900
2022-07-05,139.970001,139.970001,135.270004,137.619995,134.306335,6273400
2022-07-06,138.000000,139.139999,137.130005,138.080002,134.755280,3237000
2022-07-07,138.910004,141.320007,138.830002,140.830002,137.439072,3897100
2022-07-08,140.759995,141.320007,139.820007,140.470001,137.087738,2820800
2022-07-11,140.619995,141.869995,140.130005,141.000000,137.604965,3904700
2022-07-12,140.839996,141.550003,138.570007,139.179993,135.828781,3235400
2022-07-13,137.179993,138.899994,136.800003,137.179993,133.876938,4123200
2022-07-14,135.600006,139.429993,135.020004,139.059998,135.711670,5298400
2022-07-15,140.679993,140.679993,138.610001,139.919998,136.550964,4519300
2022-07-18,140.149994,140.309998,137.779999,138.130005,134.804062,8231700
2022-07-19,131.580002,132.559998,127.720001,130.880005,127.728645,29690500
2022-07-20,130.699997,130.720001,128.059998,129.179993,126.069565,9882000
2022-07-21,128.750000,128.809998,125.129997,127.150002,124.088448,11975400
2022-07-22,127.029999,128.320007,125.709999,128.250000,125.161964,6467200
2022-07-25,128.440002,129.130005,127.900002,128.539993,125.444969,4702400
2022-07-26,128.259995,129.300003,127.629997,128.080002,124.996056,3645300
2022-07-27,127.970001,129.429993,127.580002,129.119995,126.011009,4175600
2022-07-28,128.750000,129.809998,128.610001,129.220001,126.108604,3913700
2022-07-29,129.520004,131.000000,129.309998,130.789993,127.640793,5786800
2022-08-01,130.750000,132.699997,130.699997,132.039993,128.860703,4142100
2022-08-02,132.199997,132.779999,130.509995,131.809998,128.636246,4403600
2022-08-03,131.820007,132.860001,131.320007,132.339996,129.153473,3088500
2022-08-04,132.149994,132.289993,131.020004,131.639999,128.470337,3179800
2022-08-05,131.250000,132.669998,131.070007,132.479996,129.290100,2586500
2022-08-08,133.100006,133.350006,132.020004,132.610001,129.416977,3821200
2022-08-09,129.919998,130.789993,129.119995,129.470001,127.944542,3496000
2022-08-10,130.750000,131.779999,130.339996,131.500000,129.950623,3664000
2022-08-11,132.360001,133.229996,132.000000,132.539993,130.978363,3501900
2022-08-12,132.619995,134.089996,131.979996,134.009995,132.431046,2766900
2022-08-15,132.960007,135.190002,132.240005,134.929993,133.340195,2791200
2022-08-16,134.600006,137.369995,134.449997,136.559998,134.951004,4313600
2022-08-17,136.460007,138.419998,136.300003,137.789993,136.166504,3667600
2022-08-18,137.789993,139.119995,137.750000,139.070007,137.431442,3177700
2022-08-19,138.750000,139.339996,137.660004,138.369995,136.739670,3155800
2022-08-22,137.649994,137.850006,135.470001,135.550003,133.952911,3093600
2022-08-23,135.369995,136.100006,134.720001,134.740005,133.152451,4141800
2022-08-24,134.889999,135.110001,133.110001,133.229996,131.660233,2855400
2022-08-25,133.649994,134.429993,133.070007,133.979996,132.401398,2706000
2022-08-26,134.100006,134.179993,130.339996,130.380005,128.843826,4185300
2022-08-29,129.990005,131.419998,129.570007,130.309998,128.774643,2783000
2022-08-30,130.559998,130.770004,129.289993,129.580002,128.053238,2407900
2022-08-31,129.919998,130.000000,128.399994,128.449997,126.936554,3490400
2022-09-01,128.399994,129.820007,127.739998,129.660004,128.132309,3396200
2022-09-02,130.300003,130.559998,127.239998,127.790001,126.284332,3040600
2022-09-06,127.800003,128.059998,126.300003,126.720001,125.226944,3347100
2022-09-07,126.690002,127.870003,126.279999,127.709999,126.205276,2401500
2022-09-08,127.199997,128.539993,126.589996,128.470001,126.956322,2964600
2022-09-09,128.899994,129.490005,128.059998,129.190002,127.667839,3291900
2022-09-12,130.330002,130.990005,129.889999,130.660004,129.120529,3741100
2022-09-13,129.139999,129.910004,126.769997,127.250000,125.750694,4565600
2022-09-14,127.500000,129.000000,126.849998,127.690002,126.185516,3819100
2022-09-15,127.389999,127.470001,124.900002,125.489998,124.011429,5141700
2022-09-16,124.360001,127.529999,123.830002,127.269997,125.770454,9839700
2022-09-19,126.489998,128.059998,126.279999,127.730003,126.225044,3981600
2022-09-20,126.900002,126.989998,125.519997,126.300003,124.811890,2837500
2022-09-21,126.889999,127.839996,124.919998,124.930000,123.458031,3389500
2022-09-22,124.760002,126.510002,124.410004,125.309998,123.833549,4046600
2022-09-23,124.529999,125.000000,121.739998,122.709999,121.264191,5195600
2022-09-26,122.300003,124.260002,121.750000,122.010002,120.572441,3987800
2022-09-27,122.599998,123.949997,121.080002,121.739998,120.305618,4117200
2022-09-28,121.650002,123.230003,119.809998,122.760002,121.313599,4996400
2022-09-29,121.849998,122.620003,120.570000,121.629997,120.196907,3817700
2022-09-30,121.660004,122.430000,118.610001,118.809998,117.410133,5346100
2022-10-03,120.160004,122.209999,119.599998,121.510002,120.078331,4261700
2022-10-04,122.800003,125.650002,122.519997,125.500000,124.021317,4566100
2022-10-05,124.709999,126.459999,124.230003,125.739998,124.258484,3212900
2022-10-06,124.879997,125.300003,121.769997,122.230003,120.789848,5074600
2022-10-07,121.500000,121.800003,118.070000,118.820000,117.420021,4499700
2022-10-10,119.790001,119.959999,117.040001,117.750000,116.362625,5990000
2022-10-11,117.459999,119.230003,116.940002,117.800003,116.412041,4043100
2022-10-12,118.000000,118.809998,117.199997,117.570000,116.184746,3338800
2022-10-13,116.099998,122.150002,115.550003,121.790001,120.355026,5837500
2022-10-14,121.800003,122.540001,119.839996,120.040001,118.625648,3762400
2022-10-17,121.800003,122.879997,121.430000,121.519997,120.088203,5458600
2022-10-18,123.000000,123.940002,121.820000,122.940002,121.491478,5120300
2022-10-19,122.360001,123.940002,121.989998,122.510002,121.066544,5906600
2022-10-20,126.250000,128.960007,125.150002,128.300003,126.788330,13623100
2022-10-21,128.389999,130.850006,127.589996,129.899994,128.369461,7201300
2022-10-24,130.899994,133.110001,129.850006,132.690002,131.126602,5610900
2022-10-25,132.000000,133.300003,131.300003,132.929993,131.363770,5957600
2022-10-26,133.720001,135.860001,132.809998,135.009995,133.419266,5139000
2022-10-27,135.550003,136.399994,134.449997,134.770004,133.182098,3993200
2022-10-28,135.559998,138.860001,135.220001,138.509995,136.878021,5965500
2022-10-31,138.059998,138.770004,136.600006,138.289993,136.660614,4915300
2022-11-01,138.250000,138.649994,136.699997,138.199997,136.571671,3590600
2022-11-02,137.750000,140.169998,136.800003,136.830002,135.217819,5360500
2022-11-03,136.419998,136.479996,133.970001,134.470001,132.885635,4442400
2022-11-04,135.649994,137.729996,134.940002,136.960007,135.346298,4178000
2022-11-07,136.639999,138.699997,136.509995,138.339996,136.710022,4043100
2022-11-08,139.000000,140.929993,138.720001,140.039993,138.389999,5042800
2022-11-09,137.949997,138.899994,136.940002,137.389999,137.389999,4720000
2022-11-10,140.259995,141.369995,138.289993,141.229996,141.229996,5389000
2022-11-11,141.500000,144.130005,140.960007,143.169998,143.169998,5871300
2022-11-14,142.630005,146.080002,142.179993,144.199997,144.199997,5293500
2022-11-15,144.080002,146.160004,142.000000,144.339996,144.339996,4727100
2022-11-16,144.130005,144.949997,144.009995,144.520004,144.520004,3445200
2022-11-17,143.410004,146.179993,143.250000,146.089996,146.089996,3954000
2022-11-18,146.559998,148.309998,145.940002,147.639999,147.639999,4661700
2022-11-21,147.550003,147.929993,146.449997,146.679993,146.679993,3476200
2022-11-22,147.600006,149.350006,147.020004,149.100006,149.100006,7062100
2022-11-23,149.100006,150.460007,148.300003,148.750000,148.750000,3658200
2022-11-25,148.270004,149.490005,148.100006,148.369995,148.369995,2075200
2022-11-28,147.979996,148.240005,145.940002,146.179993,146.179993,3538100
2022-11-29,145.910004,147.169998,145.699997,146.490005,146.490005,2754700
2022-11-30,146.190002,149.639999,145.669998,148.899994,148.899994,6376500
2022-12-01,149.979996,150.009995,147.339996,149.160004,149.160004,4495900
2022-12-02,148.130005,149.160004,147.729996,148.669998,148.669998,2899700
2022-12-05,147.940002,148.929993,146.800003,147.410004,147.410004,2784600
2022-12-06,147.300003,147.800003,146.699997,147.500000,147.500000,2847600
2022-12-07,147.330002,148.100006,146.289993,147.270004,147.270004,3971300
2022-12-08,147.899994,149.149994,147.369995,147.779999,147.779999,2665700
2022-12-09,147.399994,148.339996,146.970001,147.050003,147.050003,3047600
